node1,node2,edge,color
qacEdelta1,aadA12,0.086956522,indianred3
sul1,aadA12,0.05,indianred3
aadA12,qacEdelta1,1,rosybrown1
sul1,qacEdelta1,1,rosybrown1
aadA23,qacEdelta1,0.666666667,rosybrown1
intI1,qacEdelta1,0.111111111,indianred3
catB8,qacEdelta1,0.25,indianred3
dfrA14,qacEdelta1,0.125,indianred3
ANT(3'')-IIa,qacEdelta1,0.2,indianred3
aadA8b,qacEdelta1,0.5,indianred3
OXA-4,qacEdelta1,0.333333333,indianred3
OXA-224,qacEdelta1,1,rosybrown1
OXA-205,qacEdelta1,0.5,indianred3
aadA17,qacEdelta1,1,rosybrown1
OXA-9,qacEdelta1,0.666666667,rosybrown1
OXA-119,aadA6,1,rosybrown1
OXA-205,aadA6,0.5,indianred3
aadA6,OXA-119,0.666666667,rosybrown1
aadA12,sul1,0.5,indianred3
qacEdelta1,sul1,0.869565217,rosybrown1
aadA23,sul1,0.666666667,rosybrown1
intI1,sul1,0.111111111,indianred3
catB8,sul1,0.25,indianred3
dfrA14,sul1,0.125,indianred3
ANT(3'')-IIa,sul1,0.1,indianred3
aadA8b,sul1,0.5,indianred3
OXA-205,sul1,0.5,indianred3
aadA17,sul1,1,rosybrown1
OXA-9,sul1,0.666666667,rosybrown1
EreD,aadS,1,rosybrown1
tetX,aadS,0.125,indianred3
Tet(X5),aadS,1,rosybrown1
mefC,aadS,1,rosybrown1
aadS,EreD,0.25,indianred3
qacEdelta1,aadA23,0.173913043,indianred3
sul1,aadA23,0.2,indianred3
OXA-34,aadA23,1,rosybrown1
OXA-9,aadA23,0.333333333,indianred3
catB2,aadA23,1,rosybrown1
aadA23,OXA-34,0.166666667,indianred3
mphE,tet(39),0.130434783,indianred3
msrE,tet(39),0.130434783,indianred3
tet(39),mphE,1,rosybrown1
msrE,mphE,1,rosybrown1
tet(39),msrE,1,rosybrown1
mphE,msrE,1,rosybrown1
qacEdelta1,intI1,0.043478261,indianred3
sul1,intI1,0.05,indianred3
catB8,intI1,0.25,indianred3
qacH,intI1,0.2,indianred3
AAC(6')-Ib9,intI1,0.166666667,indianred3
cmlA5,intI1,0.142857143,indianred3
ANT(3'')-IIa,intI1,0.1,indianred3
OXA-2,intI1,0.5,indianred3
QnrVC4,intI1,0.5,indianred3
OXA-10,intI1,0.5,indianred3
AAC(6')-Ib-cr,intI1,0.25,indianred3
OXA-14,intI1,1,rosybrown1
qacEdelta1,catB8,0.043478261,indianred3
sul1,catB8,0.05,indianred3
